,company_name,job_title,experince,salary,staticurl
0,AMERICAN EXPRESS,Data Engineer,2-4 Yrs,13-17 Lacs PA,https://www.naukri.com/american-express-jobs-careers-2256
1,AMERICAN EXPRESS,Data Scientist,1-3 Yrs,15-18 Lacs PA,https://www.naukri.com/american-express-jobs-careers-2256
2,ANTI-Ai PRIVATE LIMITED,AI Scientist,2-6 Yrs,Not disclosed,https://www.naukri.com/anti-ai-jobs-careers-124383136
3,Acuity Knowledge Partners,Python Developer,2-5 Yrs,Not disclosed,https://www.naukri.com/acuity-knowledge-partners-jobs-careers-991396
4,Acuity Knowledge Partners,Python- Machine Learning & LLM,2-6 Yrs,Not disclosed,https://www.naukri.com/acuity-knowledge-partners-jobs-careers-991396
5,Ai4see,Data Science Intern,No fixed duration,Unpaid,https://www.naukri.com/ai4see-jobs-careers-7016621
6,AlgoAnalytics,Data Scientist,2-5 Yrs,Not disclosed,https://www.naukri.com/algoanalytics-jobs-careers-882292
7,Alternative Path,"Data Specialist - ETL, Monitoring & Support",2-4 Yrs,Not disclosed,https://www.naukri.com/alternative-path-jobs-careers-7013227
8,Altimetrik,Data & Gen AI Specialist,1-4 Yrs,Not disclosed,https://www.naukri.com/altimetrik-jobs-careers-899040
9,Amgen Inc,Data Engineer - R&D Precision Medicine,1-3 Yrs,Not disclosed,https://www.naukri.com/amgen-jobs-careers-124351684
10,Apex One,AWS Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/apex-one-jobs-careers-124545736
11,Apex One,PySpark Developer,2-5 Yrs,Not disclosed,https://www.naukri.com/apex-one-jobs-careers-124545736
12,Argus India Price Reporting Services,Associate Data Engineer | Pricing | Full Time Contract 18 Months,1-3 Yrs,5-11 Lacs PA,https://www.naukri.com/argus-india-price-reporting-services-jobs-careers-5473098
13,Assurecare Healthtech,Business Analyst (Technical),1-4 Yrs,Not disclosed,https://www.naukri.com/assurecare-healthtech-jobs-careers-4762938
14,Astrosoft Technologies,Aws Data Engineer,2-4 Yrs,6.5-10 Lacs PA,https://www.naukri.com/astrosoft-technologies-jobs-careers-124174090
15,Autuskey,Business Analyst - Autuskey,2-7 Yrs,Not disclosed,https://www.naukri.com/autuskey-jobs-careers-3125730
16,Avtech Software,Oracle HCM Data Analyst,1-7 Yrs,Not disclosed,https://www.naukri.com/avtech-jobs-careers-5122154
17,Bahwan CyberTek,BI Data Engineer,2-4 Yrs,10-15 Lacs PA,https://www.naukri.com/bahwan-cybertek-jobs-careers-1992
18,Bintech Group,AI/ML Engineer,1-5 Yrs,Not disclosed,https://www.naukri.com/bintech-group-jobs-careers-6897249
19,Branch International,Machine Learning Engineer,2-7 Yrs,Not disclosed,https://www.naukri.com/branch-international-jobs-careers-5413902
20,CGI,Python Fullstack Developer,2-5 Yrs,Not disclosed,https://www.naukri.com/cgi-jobs-careers-217
21,Censius Ai,Technical Marketing Specialist - Data Science,2-5 Yrs,Not disclosed,https://www.naukri.com/censius-ai-jobs-careers-6600824
22,Chargebee,Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/chargebee-jobs-careers-2356434
23,Codersbrain India,Data Engineer,2-4 Yrs,Not disclosed,https://www.naukri.com/coders-brain-jobs-careers-1095712
24,Contechub,Data Analyst,1-3 Yrs,Not disclosed,https://www.naukri.com/contechub-jobs-careers-124010652
25,Dapplooker,Prompt Engineer,0-3 Yrs,Not disclosed,https://www.naukri.com/dapplooker-jobs-careers-124466804
26,Datanetiix Solutions,Business Analyst,2-5 Yrs,Not disclosed,https://www.naukri.com/datanetiix-solutions-jobs-careers-4599452
27,Decision Point,Senior Data Scientist,2-5 Yrs,8-14 Lacs PA,https://www.naukri.com/decision-point-jobs-careers-5395270
29,Deets Digital,Data Engineer,1-4 Yrs,Not disclosed,https://www.naukri.com/deets-digital-jobs-careers-123749131
28,Deets Digital,Data Analyst,1-4 Yrs,Not disclosed,https://www.naukri.com/deets-digital-jobs-careers-123749131
30,Deloitte,Gcp Data Engineer,2-7 Yrs,Not disclosed,https://www.naukri.com/deloitte-jobs-careers-1706
31,Digilytics,Business Analyst,1-4 Yrs,Not disclosed,https://www.naukri.com/digilytics-jobs-careers-4497248
32,Digilytics,Quality Analyst (Data Science),1-4 Yrs,Not disclosed,https://www.naukri.com/digilytics-jobs-careers-4497248
33,EXL,Urgent Hiring Opening For Data Scientist,2-7 Yrs,Not disclosed,https://www.naukri.com/exl-jobs-careers-416
34,Egnyte,Machine Learning Engineer - AI,2-5 Yrs,Not disclosed,https://www.naukri.com/egnyte-jobs-careers-4378288
35,Etech Global Services,Business Analyst - Demo Engineering,2-6 Yrs,Not disclosed,https://www.naukri.com/egs-contact-center-solutions-jobs-careers-2013710
36,Exavalu,AWS Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/exavalu-jobs-careers-5029894
37,Fareportal,Opening For Senior Machine Learning Engineer with Fareportal,2-5 Yrs,Not disclosed,https://www.naukri.com/fareportal-jobs-careers-18345
39,FedEx,Data Engineer - Associate,1-2 Yrs,Not disclosed,https://www.naukri.com/fedex-jobs-careers-230030
38,FedEx,Data Analyst,2-4 Yrs,Not disclosed,https://www.naukri.com/fedex-jobs-careers-230030
40,First Advantage,Senior Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/first-advantage-jobs-careers-984
41,Fluid Ai,Senior Full Stack Developer,2-6 Yrs,Not disclosed,https://www.naukri.com/fluid-ai-jobs-careers-4558114
42,Fort Technologies,Data Engineer - Python,2-5 Yrs,Not disclosed,https://www.naukri.com/fort-technologies-jobs-careers-123915247
43,Globaldata,Job opening For Data Science/Sr Data Science @ GlobalData(Hyd),2-6 Yrs,Not disclosed,https://www.naukri.com/globaldata-jobs-careers-610735
44,Grid Dynamics,Data Engineer,1-4 Yrs,Not disclosed,https://www.naukri.com/grid-dynamics-jobs-careers-1847866
45,Harris Healthcare,Senior Analyst / Associate (M&A),1-4 Yrs,Not disclosed,https://www.naukri.com/harris-healthcare-jobs-careers-124739673
46,HashedIn,Senior Data Engineer / Data Engineer,2-4 Yrs,7-9 Lacs PA,https://www.naukri.com/hashedin-jobs-careers-1862138
47,Healthedge,Immediate Joiner- Data Engineer,1-4 Yrs,Not disclosed,https://www.naukri.com/healthedge-jobs-careers-5884298
48,Hippo Innovations,Business Analyst,1-2 Yrs,5-6 Lacs PA,https://www.naukri.com/hippo-innovations-jobs-careers-4466660
49,Hudson Data,Data Analyst,2-5 Yrs,Not disclosed,https://www.naukri.com/hudson-data-jobs-careers-5524768
50,ICF,Solar Project Manager,2-5 Yrs,Not disclosed,https://www.naukri.com/icf-jobs-careers-1793224
51,IQZ Systems,Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/iqz-systems-jobs-careers-4540596
52,Incanus Technologies,Business Analyst,0-4 Yrs,Not disclosed,https://www.naukri.com/incanus-technologies-jobs-careers-6059412
53,Indium Software,Data Engineer,2-6 Yrs,Not disclosed,https://www.naukri.com/indium-jobs-careers-53408
54,Infobahn Softworld,Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/infobahn-softworld-jobs-careers-751753
55,Infosys,Azure Developer,2-7 Yrs,Not disclosed,https://www.naukri.com/infosys-jobs-careers-11244
56,Insider,Machine Learning Engineer (Search),2-5 Yrs,Not disclosed,https://www.naukri.com/insider-jobs-careers-2357860
57,KiE Square,Special Projects - Internship,No fixed duration,Unpaid,https://www.naukri.com/kie-square-jobs-careers-450185
58,LeadWinner,Business Analyst,0-2 Yrs,Not disclosed,https://www.naukri.com/leadwinner-jobs-careers-2072576
59,Mapup,Data Scientist,1-10 Yrs,Not disclosed,https://www.naukri.com/mapup-jobs-careers-5494238
60,Markelytics Limited,Data Scientist - 25 To 30 lacs. Remote,1-3 Yrs,25-30 Lacs PA,https://www.naukri.com/markelytics-jobs-careers-124498988
61,Mchoovers Consulting / Pacific Data Integrators,Junior Data Engineer (Immediate Joiner Only),1-4 Yrs,6-8 Lacs PA,https://www.naukri.com/mchoovers-consulting-jobs-careers-1517366
66,"NTT DATA, Inc.",Senior Data Scientist,2-6 Yrs,Not disclosed,https://www.naukri.com/ntt-data-jobs-careers-302585
65,"NTT DATA, Inc.",Senior Associate Data Scientist,2-5 Yrs,Not disclosed,https://www.naukri.com/ntt-data-jobs-careers-302585
67,"NTT DATA, Inc.",Senior GenAI Data Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/ntt-data-jobs-careers-302585
63,"NTT DATA, Inc.",Data Scientist,2-5 Yrs,Not disclosed,https://www.naukri.com/ntt-data-jobs-careers-302585
62,"NTT DATA, Inc.",Associate Data Engineer,1-3 Yrs,Not disclosed,https://www.naukri.com/ntt-data-jobs-careers-302585
64,"NTT DATA, Inc.",Data/ML Ops Engineer,2-5 Yrs,Not disclosed,https://www.naukri.com/ntt-data-jobs-careers-302585
68,Netomi,ML Data Analyst,2-5 Yrs,Not disclosed,https://www.naukri.com/netomi-jobs-careers-4306490
69,Neuron7,Data Scientist,2-5 Yrs,Not disclosed,https://www.naukri.com/neuron7-jobs-careers-7109543
70,Numentica,Data Engineer,1-4 Yrs,Not disclosed,https://www.naukri.com/numentica-jobs-careers-5150050
71,Omnicom Media Group,AdOps Analyst,2-5 Yrs,Not disclosed,https://www.naukri.com/omnicom-media-group-jobs-careers-1231336
72,Optum,Data Analyst,1-3 Yrs,3.25-7.5 Lacs PA,https://www.naukri.com/optum-jobs-careers-126573
73,Paktolus Solutions,AI/ML Engineer- IIT/ NIT/IIIT (Permanent Remote),2-4 Yrs,12-22 Lacs PA,https://www.naukri.com/paktolus-solutions-jobs-careers-3431918
75,Peroptyx,Data Analyst(English Required),0-5 Yrs,Not disclosed,https://www.naukri.com/peroptyx-jobs-careers-123896739
74,Peroptyx,Data Analyst (English Required),0-4 Yrs,Not disclosed,https://www.naukri.com/peroptyx-jobs-careers-123896739
76,Pocket Fm,Data Scientist,2-7 Yrs,Not disclosed,https://www.naukri.com/pocket-fm-jobs-careers-4562558
77,Pripton Innovations,Data Analyst,0-5 Yrs,Not disclosed,https://www.naukri.com/pripton-innovations-jobs-careers-123930137
78,Quadrant Technologies,Ai Ml Engineer,2-7 Yrs,Not disclosed,https://www.naukri.com/quadrant-technologies-jobs-careers-2568234
79,Quickbase,Data Engineer,2-8 Yrs,Not disclosed,https://www.naukri.com/quickbase-jobs-careers-6488884
80,Randomtrees,Azure Data Engineer,2-6 Yrs,Not disclosed,https://www.naukri.com/randomtrees-jobs-careers-6354298
81,Randomtrees,Data Scientist,2-6 Yrs,Not disclosed,https://www.naukri.com/randomtrees-jobs-careers-6354298
82,Remotestar,Data Engineer,2-6 Yrs,Not disclosed,https://www.naukri.com/remotestar-jobs-careers-5572870
83,Rocket Software,Assistant Data Scientist,0-2 Yrs,Not disclosed,https://www.naukri.com/rocket-jobs-careers-3125404
84,Sainapse,Business Analyst,1-3 Yrs,Not disclosed,https://www.naukri.com/sainapse-jobs-careers-123927567
85,Sakon,Analyst-Fulfilment,1-3 Yrs,Not disclosed,https://www.naukri.com/sakon-jobs-careers-126120
86,Scalereal Technologies,Business Analyst,2-5 Yrs,Not disclosed,https://www.naukri.com/scalereal-technologies-jobs-careers-5959176
87,Serigor,Business Analyst,2-7 Yrs,Not disclosed,https://www.naukri.com/serigor-jobs-careers-896454
88,Serigor,"Data Engineer (PYTHON, DBT, SQL)",2-6 Yrs,Not disclosed,https://www.naukri.com/serigor-jobs-careers-896454
89,Serigor,JUNIOR ETL / DATA ENGINEER (PDI),0-3 Yrs,Not disclosed,https://www.naukri.com/serigor-jobs-careers-896454
90,Serigor,Junior Data Engineer (Client-PDI),0-2 Yrs,Not disclosed,https://www.naukri.com/serigor-jobs-careers-896454
91,ShareChat,Data Analyst,0-2 Yrs,Not disclosed,https://www.naukri.com/sharechat-jobs-careers-3441136
92,Sheesha Finance,Dealflow Analyst,2-4 Yrs,Not disclosed,https://www.naukri.com/sheesha-finance-jobs-careers-123613059
